address,city,price(USD),bds,ba,sqft,state,url
3301 Fessenden St NW,WASHINGTON,15000000,11,14.5,16850,DC,https://www.zillow.com/homedetails/3301-Fessenden-St-NW-Washington-DC-20008/453375_zpid/
1607 28th St NW,WASHINGTON,18000000,8,11,9450,DC,https://www.zillow.com/homedetails/1607-28th-St-NW-Washington-DC-20007/71739998_zpid/
3005 Chancellors Way NE,WASHINGTON,390452,3,2,1448,DC,https://www.zillow.com/homedetails/3005-Chancellors-Way-NE-Washington-DC-20017/114415101_zpid/
4400 Garfield St NW,WASHINGTON,9995000,8,11,12000,DC,https://www.zillow.com/homedetails/4400-Garfield-St-NW-Washington-DC-20007/442323_zpid/
2815 Woodland Dr NW,WASHINGTON,9500000,4,6,10900,DC,https://www.zillow.com/homedetails/2815-Woodland-Dr-NW-Washington-DC-20008/108428549_zpid/
