address,city,price(USD),bds,ba,sqft,state,url
598 Hampton Trl,Hamilton,27500000,12,23,25000,MT,https://www.zillow.com/homedetails/598-Hampton-Trl-Hamilton-MT-59840/230850202_zpid/
307 Northern Lights Blvd,Whitefish,14200000,7,10,14958,MT,https://www.zillow.com/homedetails/307-Northern-Lights-Blvd-Whitefish-MT-59937/212886236_zpid/
84 Wild Horse Ranch Ln,FORSYTH,80000,2,1,800,MT,https://www.zillow.com/homedetails/84-Wild-Horse-Ranch-Ln-Forsyth-MT-59327/116523780_zpid/
485 Nixon Peak Rd,Bozeman,699900,4,3,2720,MT,https://www.zillow.com/homedetails/485-Nixon-Peak-Rd-Bozeman-MT-59715/212928802_zpid/
Eagles Rst,Bigfork,11500000,5,8,14478,MT,https://www.zillow.com/homedetails/Eagles-Rst-Bigfork-MT-59911/2090319265_zpid/
391 Pioneer Road,Three Forks,89900,,1,384,MT,https://www.zillow.com/homedetails/391-Pioneer-Road-Three-Forks-MT-59752/2090908148_zpid/
4079 Stevensville River Rd,Stevensville,300000,3,3,2632,MT,https://www.zillow.com/homedetails/4079-Stevensville-River-Rd-Stevensville-MT-59870/230855828_zpid/
