address,city,price(USD),bds,ba,sqft,state,url
1275 S Ely Springs Rd,Jackson,26760000,5,6.5,6970,WY,https://www.zillow.com/homedetails/1275-S-Ely-Springs-Rd-Jackson-WY-83001/194362896_zpid/
401 Hanson Lane,laramie,359900,3,3,2014,WY,https://www.zillow.com/homedetails/401-Hanson-Lane-Laramie-WY-82070/2099879026_zpid/
1100 W Woodside Dr,Jackson,19000000,9,10,13000,WY,https://www.zillow.com/homedetails/1100-W-Woodside-Dr-Jackson-WY-83001/194369347_zpid/
3115 Water Cress Ln,Jackson,16495000,5,7,14421,WY,https://www.zillow.com/homedetails/3115-Water-Cress-Ln-Jackson-WY-83001/194363110_zpid/
