address,city,price(USD),bds,ba,sqft,state,url
37025 Canvasback Dr # 46654,Millsboro,64900,3,2,2400,DE,https://www.zillow.com/homedetails/37025-Canvasback-Dr-46654-Millsboro-DE-19966/2086652192_zpid/
05 Darrell Dr,Felton,267900,5,3,3590,DE,https://www.zillow.com/homedetails/05-Darrell-Dr-Felton-DE-19943/2086083257_zpid/
26 Ardmore Rd,Newark,259900,4,2,3550,DE,https://www.zillow.com/homedetails/26-Ardmore-Rd-Newark-DE-19713/72898843_zpid/
42 Matthews Rd,Newark,224900,3,2,1459,DE,https://www.zillow.com/homedetails/42-Matthews-Rd-Newark-DE-19713/73038367_zpid/
424 Mccabe Ave,Wilmington,174900,4,2,1575,DE,https://www.zillow.com/homedetails/424-Mccabe-Ave-Wilmington-DE-19802/72953044_zpid/
23 Staten Dr,Hockessin,1,4,3,2400,DE,https://www.zillow.com/homedetails/23-Staten-Dr-Hockessin-DE-19707/73008870_zpid/
