address,city,price(USD),bds,ba,sqft,state,url
195 Newman Ave,RUMFORD,225000,3,3,1804,RI,https://www.zillow.com/homedetails/195-Newman-Ave-Rumford-RI-02916/65903545_zpid/
354 W Beach Rd,CHARLESTOWN,380000,3,2,2048,RI,https://www.zillow.com/homedetails/354-W-Beach-Rd-Charlestown-RI-02813/65806952_zpid/
339 Ocean Ave,NEWPORT,39000000,7,7.5,10000,RI,https://www.zillow.com/homedetails/339-Ocean-Ave-Newport-RI-02840/65984689_zpid/
99 Mount View Ave,NORTH KINGSTOWN,334000,3,2,1616,RI,https://www.zillow.com/homedetails/99-Mount-View-Ave-North-Kingstown-RI-02852/65965174_zpid/
116 Canna St,WARWICK,269000,3,2,1250,RI,https://www.zillow.com/homedetails/116-Canna-St-Warwick-RI-02888/65872975_zpid/
200 Oaklawn Ave,CRANSTON,149000,3,3,2747,RI,https://www.zillow.com/homedetails/200-Oaklawn-Ave-Cranston-RI-02920/65872119_zpid/
185 Taber Ave,PROVIDENCE,659000,5,4,3613,RI,https://www.zillow.com/homedetails/185-Taber-Ave-Providence-RI-02906/66048001_zpid/
