address,city,price(USD),bds,ba,sqft,state,url
4999 Kahala Ave APT 108,HONOLULU,125000,2,2,1555,HI,https://www.zillow.com/homedetails/4999-Kahala-Ave-APT-108-Honolulu-HI-96816/82439656_zpid/
9 Bay Dr,Lahaina,49000000,8,8.5,6645,HI,https://www.zillow.com/homedetails/9-Bay-Dr-Lahaina-HI-96761/2088332790_zpid/
1860 Ala Moana Blvd APT 905,Honolulu,150000,2,2,1304,HI,https://www.zillow.com/homedetails/1860-Ala-Moana-Blvd-APT-905-Honolulu-HI-96815/82431072_zpid/
4505 Kahala Ave,HONOLULU,30000000,5,7,15830,HI,https://www.zillow.com/homedetails/4505-Kahala-Ave-Honolulu-HI-96816/59790823_zpid/
13-3673 Pomaikai St,PAHOA,175000,3,2,1596,HI,https://www.zillow.com/homedetails/13-3673-Pomaikai-St-Pahoa-HI-96778/80321628_zpid/
3559 Lower Honoapiilani Rd APT 6B,Lahaina,239000,2,1,888,HI,https://www.zillow.com/homedetails/3559-Lower-Honoapiilani-Rd-APT-6B-Lahaina-HI-96761/2123838606_zpid/
4999 Kahala Ave APT 472,HONOLULU,750000,3,3,3440,HI,https://www.zillow.com/homedetails/4999-Kahala-Ave-APT-472-Honolulu-HI-96816/82502601_zpid/
123 Kailuana Loop,KAILUA,19800000,7,11,11353,HI,https://www.zillow.com/homedetails/123-Kailuana-Loop-Kailua-HI-96734/637546_zpid/
145 Kailuana Loop,KAILUA,28500000,10,11,14834,HI,https://www.zillow.com/homedetails/145-Kailuana-Loop-Kailua-HI-96734/637551_zpid/
