title,address,city,state,postal_code,price,facts and features,real estate provider,url
New construction,3301 Fessenden St NW,WASHINGTON,DC,20008,"$15,000,000","11 bds , 14.5 ba , 16,850 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/3301-Fessenden-St-NW-Washington-DC-20008/453375_zpid/
House for sale,1607 28th St NW,WASHINGTON,DC,20007,"$18,000,000","8 bds , 11 ba , 9,450 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/1607-28th-St-NW-Washington-DC-20007/71739998_zpid/
Townhouse for sale,3005 Chancellors Way NE,WASHINGTON,DC,20017,"$390,452","3 bds , 2 ba , 1,448 sqft",,https://www.zillow.com/homedetails/3005-Chancellors-Way-NE-Washington-DC-20017/114415101_zpid/
House for sale,4400 Garfield St NW,WASHINGTON,DC,20007,"$9,995,000","8 bds , 11 ba , 12,000 sqft",,https://www.zillow.com/homedetails/4400-Garfield-St-NW-Washington-DC-20007/442323_zpid/
House for sale,2815 Woodland Dr NW,WASHINGTON,DC,20008,"$9,500,000","4 bds , 6 ba , 10,900 sqft",,https://www.zillow.com/homedetails/2815-Woodland-Dr-NW-Washington-DC-20008/108428549_zpid/
