title,address,city,state,postal_code,price,facts and features,real estate provider,url
Foreclosure,25 Baltimore Rd,Nashua,NH,03062,"$128,900","3 bds , 2 ba , 1,766 sqft",,https://www.zillow.com/homedetails/25-Baltimore-Rd-Nashua-NH-03062/74294424_zpid/
House for sale,127 Bog Rd,Hillsborough,NH,03244,"$52,500","3 bds , 2 ba , 1,762 sqft",,https://www.zillow.com/homedetails/127-Bog-Rd-Hillsborough-NH-03244/74332242_zpid/
House for sale,3312 State Route 114 Rte,Warner,NH,03221,"$185,000","2 bds , 1 ba , 1,307 sqft",,https://www.zillow.com/homedetails/3312-State-Route-114-Rte-Warner-NH-03221/2085571588_zpid/
Co-op for sale,27 Ackerman St,Salem,NH,03079,"$329,900","3 bds , 2 ba , 1,932 sqft",,https://www.zillow.com/homedetails/27-Ackerman-St-Salem-NH-03079/86787518_zpid/
House for sale,39 Crown Point Rd,ROCHESTER,NH,03867,"$223,288","3 bds , 3 ba , 2,484 sqft",,https://www.zillow.com/homedetails/39-Crown-Point-Rd-Rochester-NH-03867/86860986_zpid/
House for sale,41 Old Auburn Rd,Derry,NH,03038,"$254,900","3 bds , 2 ba , 1,275 sqft",,https://www.zillow.com/homedetails/41-Old-Auburn-Rd-Derry-NH-03038/86790725_zpid/
House for sale,11 Merrill Ave,SALEM,NH,03079,"$369,900","3 bds , 2 ba , 2,472 sqft",,https://www.zillow.com/homedetails/11-Merrill-Ave-Salem-NH-03079/86844464_zpid/
House for sale,157 Joe Jones Rd,Gilmanton,NH,03237,"$264,900","3 bds , 2 ba , 2,572 sqft",,https://www.zillow.com/homedetails/157-Joe-Jones-Rd-Gilmanton-NH-03237/92815531_zpid/
House for sale,394 Arah St,Manchester,NH,03104,"$319,900","4 bds , 2 ba , 2,010 sqft",,https://www.zillow.com/homedetails/394-Arah-St-Manchester-NH-03104/74294723_zpid/
