title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,440 Us Hwy 1,Monticello,ME,04760,"$39,900","5 bds , 2 ba , 2,352 sqft",Big Bear Real Estate Company,https://www.zillow.com/homedetails/440-Us-Hwy-1-Monticello-ME-04760/2085583102_zpid/
House for sale,15 Loring Ave,PORTLAND,ME,04103,"$214,900","2 bds , 1 ba , 816 sqft",Locations Real Estate Group LLC,https://www.zillow.com/homedetails/15-Loring-Ave-Portland-ME-04103/84934337_zpid/
House for sale,29 Waters Edge Dr,LINCOLNVILLE,ME,04849,"$300,000","5 bds , 5 ba , 3,559 sqft",Paul McInnis LLC,https://www.zillow.com/homedetails/29-Waters-Edge-Dr-Lincolnville-ME-04849/112696547_zpid/
House for sale,145 Eden St,Bar Harbor,ME,04609,"$15,500,000","8 bds , 10.5 ba , 15,000 sqft",The Knowles Company,https://www.zillow.com/homedetails/145-Eden-St-Bar-Harbor-ME-04609/91844304_zpid/
House for sale,8 Williams Ct,BATH,ME,04530,"$200,000","4 bds , 1 ba , 2,560 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/8-Williams-Ct-Bath-ME-04530/85014528_zpid/
House for sale,57 Belfort St,Portland,ME,04103,"$249,000","2 bds , 2 ba , 1,400 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/57-Belfort-St-Portland-ME-04103/84919580_zpid/
House for sale,11 Andrews Ave,Falmouth,ME,04105,"$310,000","3 bds , 2 ba , 1,456 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/11-Andrews-Ave-Falmouth-ME-04105/84887242_zpid/
House for sale,29 Summer Pl,Portland,ME,04103,"$454,900","3 bds , 3 ba , 2,484 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/29-Summer-Pl-Portland-ME-04103/84933794_zpid/
House for sale,714 Bishop Hill Rd,Leeds,ME,04263,"$94,000","4 bds , 2 ba , 1,518 sqft",CENTURY 21 Advantage,https://www.zillow.com/homedetails/714-Bishop-Hill-Rd-Leeds-ME-04263/122996238_zpid/
