title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,2750 Gordon Dr,Naples,FL,34102,"$42,500,000","6 bds , 14 ba , 18,172 sqft",,https://www.zillow.com/homedetails/2750-Gordon-Dr-Naples-FL-34102/43731180_zpid/
Coming soon,11080 Summerspring Lakes Dr,ORLANDO,FL,32825,"$434,900","5 bds , 4 ba , 3,033 sqft",,https://www.zillow.com/homedetails/11080-Summerspring-Lakes-Dr-Orlando-FL-32825/54435712_zpid/
House for sale,12310 Harbour Ridge Blvd,PALM CITY,FL,34990,"$95,000","3 bds , 3 ba , 1,723 sqft",,https://www.zillow.com/homedetails/12310-Harbour-Ridge-Blvd-Palm-City-FL-34990/47858479_zpid/
House for sale,4976 Castle St W,Kissimmee,FL,34758,"$234,950","5 bds , 4 ba , 2,656 sqft",,https://www.zillow.com/homedetails/4976-Castle-St-W-Kissimmee-FL-34758/82102635_zpid/
House for sale,6360/6342 N Bay Rd,Miami Beach,FL,33141,"$44,500,000","12 bds , 17 ba , 13,220 sqft",,https://www.zillow.com/homedetails/6360-6342-N-Bay-Rd-Miami-Beach-FL-33141/2086323745_zpid/
House for sale,2412 S Red Rd,Miami,FL,33155,"$598,000","3 bds , 2 ba , 1,911 sqft",,https://www.zillow.com/homedetails/2412-S-Red-Rd-Miami-FL-33155/44188377_zpid/
House for sale,8671 SW 17th Ave,STUART,FL,34997,$1,"4 bds , 3 ba , 2,166 sqft",,https://www.zillow.com/homedetails/8671-SW-17th-Ave-Stuart-FL-34997/54565163_zpid/
New construction,1625 S Miami Ave,Miami,FL,33129,"$1,399,777","6 bds , 11 ba , 5,500 sqft",,https://www.zillow.com/homedetails/1625-S-Miami-Ave-Miami-FL-33129/43866473_zpid/
House for sale,2517 NW 53rd St,BOCA RATON,FL,33496,"$150,000","3 bds , 3 ba , 2,401 sqft",,https://www.zillow.com/homedetails/2517-NW-53rd-St-Boca-Raton-FL-33496/46700056_zpid/
House for sale,3966 Distant Moon Ct,Jacksonville,FL,32210,"$250,000","4 bds , 3 ba , 2,831 sqft","Coldwell Banker Vanguard Realty, Inc.",https://www.zillow.com/homedetails/3966-Distant-Moon-Ct-Jacksonville-FL-32210/44416214_zpid/
House for sale,11646 Wynnfield Lakes Cir,Jacksonville,FL,32246,"$225,000","4 bds , 3 ba , 2,985 sqft",,https://www.zillow.com/homedetails/11646-Wynnfield-Lakes-Cir-Jacksonville-FL-32246/109747536_zpid/
House for sale,415 S Royal Palm Way,TAMPA,FL,33609,"$11,000,000","5 bds , 8 ba , 9,269 sqft",,https://www.zillow.com/homedetails/415-S-Royal-Palm-Way-Tampa-FL-33609/45046916_zpid/
House for sale,46 Star Island Dr,Miami Beach,FL,33139,"$39,950,000","10 bds , 12 ba , 18,356 sqft",,https://www.zillow.com/homedetails/46-Star-Island-Dr-Miami-Beach-FL-33139/43908309_zpid/
House for sale,1613 Savona Pkwy,CAPE CORAL,FL,33904,"$250,000","3 bds , 2 ba , 1,966 sqft",Coldwell Banker Residential Real Estate - Cape Coral,https://www.zillow.com/homedetails/1613-Savona-Pkwy-Cape-Coral-FL-33904/45396833_zpid/
For sale by owner,3001 SW 18th Ter LOT 166,Fort Lauderdale,FL,33315,"$149,500","2 bds , 2 ba , 1,920 sqft",,https://www.zillow.com/homedetails/3001-SW-18th-Ter-LOT-166-Fort-Lauderdale-FL-33315/2095673953_zpid/
House for sale,1008 Winterberry Ln,Orlando,FL,32811,"$169,900","3 bds , 2 ba , 1,009 sqft",,https://www.zillow.com/homedetails/1008-Winterberry-Ln-Orlando-FL-32811/46233284_zpid/
Foreclosure,6695 NW 23rd Ter,Boca Raton,FL,33496,"$169,900","4 bds , 3.5 ba , 3,085 sqft",,https://www.zillow.com/homedetails/6695-NW-23rd-Ter-Boca-Raton-FL-33496/46699354_zpid/
Condo for sale,7178 Cypress Cove Rd # 25,Jacksonville,FL,32244,"$94,900","3 bds , 2 ba , 1,490 sqft",,https://www.zillow.com/homedetails/7178-Cypress-Cove-Rd-25-Jacksonville-FL-32244/44496080_zpid/
House for sale,2016 Bridgeview Cir,ORLANDO,FL,32824,"$275,000","4 bds , 3 ba , 2,030 sqft",,https://www.zillow.com/homedetails/2016-Bridgeview-Cir-Orlando-FL-32824/46230009_zpid/
House for sale,13455 Phoenix Dr,Orlando,FL,32828,"$324,900","4 bds , 3 ba , 2,632 sqft",,https://www.zillow.com/homedetails/13455-Phoenix-Dr-Orlando-FL-32828/82101374_zpid/
House for sale,1086 25th St SW,VERO BEACH,FL,32962,"$199,000","4 bds , 3 ba , 2,100 sqft",Treasure Coast Sotheby's International Realty,https://www.zillow.com/homedetails/1086-25th-St-SW-Vero-Beach-FL-32962/45277667_zpid/
Condo for sale,10020 Heather Ln APT 902,Naples,FL,34119,"$225,000","3 bds , 2 ba , 1,547 sqft",,https://www.zillow.com/homedetails/10020-Heather-Ln-APT-902-Naples-FL-34119/70758636_zpid/
Condo for sale,3603 Bridgewood Dr,BOCA RATON,FL,33434,"$29,900","2 bds , 2 ba , 1,400 sqft",,https://www.zillow.com/homedetails/3603-Bridgewood-Dr-Boca-Raton-FL-33434/46645990_zpid/
House for sale,3100 Gordon Dr,Naples,FL,34102,"$49,500,000","5 bds , 8 ba , 15,996 sqft",,https://www.zillow.com/homedetails/3100-Gordon-Dr-Naples-FL-34102/43731210_zpid/
House for sale,2921 Crutchfield Rd,Lakeland,FL,33805,"$70,000","4 bds , 2 ba , 2,427 sqft",,https://www.zillow.com/homedetails/2921-Crutchfield-Rd-Lakeland-FL-33805/47331133_zpid/
House for sale,6011 Le Lac Rd,BOCA RATON,FL,33496,"$25,000,000","7 bds , 19 ba , 41,010 sqft",,https://www.zillow.com/homedetails/6011-Le-Lac-Rd-Boca-Raton-FL-33496/46628409_zpid/
Foreclosure,1904 Independence Ave,Melbourne,FL,32940,"$119,900","3 bds , 2 ba , 1,904 sqft",,https://www.zillow.com/homedetails/1904-Independence-Ave-Melbourne-FL-32940/43434156_zpid/
Auction,5848 Dailey Ln,NEW PORT RICHEY,FL,34652,"$249,000","4 bds , 3 ba , 1,872 sqft",,https://www.zillow.com/homedetails/5848-Dailey-Ln-New-Port-Richey-FL-34652/46354037_zpid/
House for sale,802 Druid Rd S,Clearwater,FL,33756,"$15,900,000","14 bds , 17 ba , 23,919 sqft",,https://www.zillow.com/homedetails/802-Druid-Rd-S-Clearwater-FL-33756/81407740_zpid/
Foreclosure,116 NE 48th Ter,Gainesville,FL,32641,"$54,000","3 bds , 2 ba , 1,300 sqft",,https://www.zillow.com/homedetails/116-NE-48th-Ter-Gainesville-FL-32641/42733442_zpid/
House for sale,7608 Sequoia Dr,New Port Richey,FL,34653,"$115,000","3 bds , 2 ba , 1,348 sqft",,https://www.zillow.com/homedetails/7608-Sequoia-Dr-New-Port-Richey-FL-34653/46466529_zpid/
Home for sale,28 Newcastle Dr,Kissimmee,FL,34746,"$75,000","3 bds , 2 ba , 1,352 sqft",,https://www.zillow.com/homedetails/28-Newcastle-Dr-Kissimmee-FL-34746/2087906863_zpid/
Condo for sale,782 Eagle Creek Dr APT 102,Naples,FL,34113,"$99,900","2 bds , 2 ba , 1,534 sqft",Premier Sotheby's International Realty,https://www.zillow.com/homedetails/782-Eagle-Creek-Dr-APT-102-Naples-FL-34113/2146738463_zpid/
