title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,4999 Kahala Ave APT 108,HONOLULU,HI,96816,"$125,000","2 bds , 2 ba , 1,555 sqft",Better Homes and Gardens Real Estate Advantage Realty,https://www.zillow.com/homedetails/4999-Kahala-Ave-APT-108-Honolulu-HI-96816/82439656_zpid/
House for sale,9 Bay Dr,Lahaina,HI,96761,"$49,000,000","8 bds , 8.5 ba , 6,645 sqft",Island Sotheby's International Realty,https://www.zillow.com/homedetails/9-Bay-Dr-Lahaina-HI-96761/2088332790_zpid/
Condo for sale,1860 Ala Moana Blvd APT 905,Honolulu,HI,96815,"$150,000","2 bds , 2 ba , 1,304 sqft",,https://www.zillow.com/homedetails/1860-Ala-Moana-Blvd-APT-905-Honolulu-HI-96815/82431072_zpid/
House for sale,4505 Kahala Ave,HONOLULU,HI,96816,"$30,000,000","5 bds , 7 ba , 15,830 sqft",Coldwell Banker Pacific Properties - Leeward,https://www.zillow.com/homedetails/4505-Kahala-Ave-Honolulu-HI-96816/59790823_zpid/
House for sale,13-3673 Pomaikai St,PAHOA,HI,96778,"$175,000","3 bds , 2 ba , 1,596 sqft",,https://www.zillow.com/homedetails/13-3673-Pomaikai-St-Pahoa-HI-96778/80321628_zpid/
Condo for sale,3559 Lower Honoapiilani Rd APT 6B,Lahaina,HI,96761,"$239,000","2 bds , 1 ba , 888 sqft",Island Sotheby's International Realty,https://www.zillow.com/homedetails/3559-Lower-Honoapiilani-Rd-APT-6B-Lahaina-HI-96761/2123838606_zpid/
Condo for sale,4999 Kahala Ave APT 472,HONOLULU,HI,96816,"$750,000","3 bds , 3 ba , 3,440 sqft",Coldwell Banker Pacific Properties - Honolulu,https://www.zillow.com/homedetails/4999-Kahala-Ave-APT-472-Honolulu-HI-96816/82502601_zpid/
House for sale,123 Kailuana Loop,KAILUA,HI,96734,"$19,800,000","7 bds , 11 ba , 11,353 sqft",Carvill Sotheby's International Realty,https://www.zillow.com/homedetails/123-Kailuana-Loop-Kailua-HI-96734/637546_zpid/
House for sale,145 Kailuana Loop,KAILUA,HI,96734,"$28,500,000","10 bds , 11 ba , 14,834 sqft",List Sotheby's International Realty,https://www.zillow.com/homedetails/145-Kailuana-Loop-Kailua-HI-96734/637551_zpid/
