title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,359 Minard Rd,Putney,VT,05346,"$141,500","3 bds , 2 ba , 2,280 sqft",,https://www.zillow.com/homedetails/359-Minard-Rd-Putney-VT-05346/75477445_zpid/
Foreclosure,408 Scrabble Hl,Waterbury,VT,05676,"$217,000","2 bds , 2 ba , 2,425 sqft",,https://www.zillow.com/homedetails/408-Scrabble-Hl-Waterbury-VT-05676/75472904_zpid/
House for sale,506 N Hill Rd # 3A,Stowe,VT,05672,"$10,950,000","11 bds , 15 ba , 9,866 sqft",Four Seasons Sotheby's International Realty,https://www.zillow.com/homedetails/506-N-Hill-Rd-3A-Stowe-VT-05672/2087577682_zpid/
House for sale,61 Perry St,BARRE,VT,05641,"$70,000","4 bds , 4 ba , 3,512 sqft",CENTURY 21 Jack Associates,https://www.zillow.com/homedetails/61-Perry-St-Barre-VT-05641/75462160_zpid/
