address,city,price(USD),age,bds,ba,sqft,state,url
14816 Quail Dr,ROGERS,375000,16,3.0,4.0,3286,AR,https://www.zillow.com/homedetails/14816-Quail-Dr-Rogers-AR-72758/70716689_zpid/
1705 Akins Creek Rd,Clinton,55000,N/A,6.0,4.0,2000,AR,https://www.zillow.com/homedetails/1705-Akins-Creek-Rd-Clinton-AR-72031/2085550951_zpid/
9221 Moody Rd,FORT SMITH,10900000,14,4.0,7.0,18367,AR,https://www.zillow.com/homedetails/9221-Moody-Rd-Fort-Smith-AR-72903/74536299_zpid/
3257 Indian Springs Ave,SPRINGDALE,180000,6,3.0,2.0,1763,AR,https://www.zillow.com/homedetails/3257-Indian-Springs-Ave-Springdale-AR-72762/70665357_zpid/
14 Haslingden Ln,Bella Vista,125000,34,2.0,4.0,1352,AR,https://www.zillow.com/homedetails/14-Haslingden-Ln-Bella-Vista-AR-72715/70734093_zpid/
16432 Hazel Valley Rd,Fayetteville,69000,94,3.0,3.0,2086,AR,https://www.zillow.com/homedetails/16432-Hazel-Valley-Rd-Fayetteville-AR-72701/2086175002_zpid/
2395 Orchid,Conway,169500,16,3.0,2.0,1571,AR,https://www.zillow.com/homedetails/2395-Orchid-Conway-AR-72034/60826436_zpid/
516 County Road 713,JONESBORO,189900,N/A,3.0,2.0,1964,AR,https://www.zillow.com/homedetails/516-County-Road-713-Jonesboro-AR-72401/76119418_zpid/
3648 E Township St,Fayetteville,372000,16,4.0,3.0,3227,AR,https://www.zillow.com/homedetails/3648-E-Township-St-Fayetteville-AR-72703/72871369_zpid/
11101 Rivercrest Dr,LITTLE ROCK,334900,12,4.0,3.0,2838,AR,https://www.zillow.com/homedetails/11101-Rivercrest-Dr-Little-Rock-AR-72212/82848206_zpid/
9992 Jims Trl,ROGERS,499900,23,5.0,4.0,2500,AR,https://www.zillow.com/homedetails/9992-Jims-Trl-Rogers-AR-72756/70693433_zpid/
3908 Lankford Ave,SPRINGDALE,139900,44,3.0,2.0,1704,AR,https://www.zillow.com/homedetails/3908-Lankford-Ave-Springdale-AR-72762/72857155_zpid/
10 Valley Crest Ct,LITTLE ROCK,2495000,11,5.0,12.0,15291,AR,https://www.zillow.com/homedetails/10-Valley-Crest-Ct-Little-Rock-AR-72223/79789009_zpid/
